timestamp,linkrate_kbps
0,1066.18
1,1049.57
2,980.00
3,1363.40
4,753.80
5,900.94
6,681.37
7,894.82
8,575.74
9,708.26
10,725.88
11,964.87
12,958.41
13,1058.91
14,815.83
15,972.24
16,1018.85
17,1096.35
18,1298.80
19,928.88
20,906.83
21,953.93
22,1035.21
24,1135.40
25,1160.34
26,1320.64
27,1067.46
28,1237.71
29,839.54
30,891.87
31,1105.24
32,869.19
33,894.00
34,898.05
35,1085.71
36,854.38
37,946.98
38,871.88
39,825.11
40,1051.06
41,982.13
42,1268.24
44,413.02
45,411.35
46,656.11
47,1652.62
48,1722.88
49,2161.09
50,1903.72
51,2065.47
52,2690.90
53,1486.35
54,2565.23
55,1998.40
56,2153.37
57,1233.95
58,2745.95
59,2491.46
60,1488.53
61,2655.47
62,2905.08
64,1712.57
65,2530.66
66,2282.97
67,2036.99
68,2951.93
69,1951.18
70,1344.07
71,2199.64
72,1542.91
73,1974.04
74,1547.84
75,1735.42
76,1202.72
77,1311.11
78,852.09
79,1563.43
80,411.75
81,1281.62
82,2432.66
83,2931.45
84,2791.06
85,1702.36
86,2231.53
87,2581.27
88,2416.67
89,2812.75
90,2912.82
91,3534.33
92,2310.80
93,2021.65
94,2667.67
95,1505.11
96,1938.14
97,2386.85
98,3437.05
99,2551.98
100,2908.27
101,2078.49
102,2067.15
103,1748.74
104,1486.76
105,2219.41
106,1593.28
107,1681.85
108,1670.34
109,1267.77
110,783.30
111,1213.59
112,1148.58
113,982.22
114,1475.96
115,1437.80
116,1825.82
117,1400.14
118,1397.80
119,1101.67
120,1135.90
121,1074.86
122,652.82
123,942.70
124,628.47
125,436.45
126,324.70
127,501.92
128,2086.64
129,1949.37
130,990.77
131,1591.28
132,1511.31
133,551.14
134,1618.09
135,1645.13
136,1332.23
138,910.59
139,1312.68
140,1015.60
141,1963.02
142,1859.76
143,1809.55
144,866.76
145,1431.89
146,1024.64
147,1473.65
148,718.02
149,996.88
151,443.78
152,479.08
153,847.41
154,659.91
155,1104.14
156,812.61
157,1159.41
158,535.47
159,1964.03
160,1358.89
161,2004.59
162,1013.16
163,1574.36
165,845.72
166,1509.60
166,1185.20
167,1082.37
168,985.55
169,1271.64
170,1535.10
171,1449.73
172,1497.83
173,1568.05
174,1302.48
176,1344.95
177,862.07
178,1225.64
179,861.61
180,1667.47
181,2361.54
182,1383.24
183,1632.29
184,2295.94
185,2124.45
186,2134.97
187,1739.72
188,2232.14
189,1620.99
190,2055.42
191,1446.93
192,1565.25
193,2145.46
194,1573.10
195,2351.33
196,1791.41
197,2490.25
198,2059.01
199,2499.58
200,2566.88
201,2319.72
202,2203.88
203,1841.92
204,2226.58
205,2930.06
206,1976.23
207,1791.43
208,2348.26
209,1723.90
210,2254.20
211,2875.40
212,2272.91
213,2401.81
216,464.76
217,5860.11
218,1902.35
219,1605.26
220,1722.65
221,2208.02
222,2055.42
223,2113.40
224,1762.96
225,547.74
226,1030.02
227,1364.58
228,1225.64
229,931.87
230,17.36
231,1520.40
232,1765.53
233,1845.43
234,1958.00
235,1709.44
236,1746.39
237,1746.30
238,1905.06
239,1493.49
240,2190.19
241,2109.69
242,2210.47
243,1262.41
245,1187.26
246,978.47
247,985.07
248,1924.22
249,1886.79
250,2128.00
251,2131.95
252,1314.55
253,1400.57
254,1479.11
255,2091.28
256,1670.31
257,2071.66
258,2130.00
259,2130.75
260,1700.36
261,1831.22
262,1797.36
263,2153.85
264,947.39
265,375.53
266,2000.75
267,2572.84
268,2904.54
269,2961.35
270,3512.85
271,2303.97
272,2847.05
273,3022.77
274,3896.78
275,4083.55
276,2900.27
277,3729.69
278,3182.62
279,3302.03
280,4235.44
281,2568.18
282,2883.03
283,2246.66
284,2125.05
285,2377.87
286,2261.89
287,3170.59
288,3253.71
289,2687.76
290,3121.24
291,2871.42
292,4067.56
293,4161.34
294,3353.59
295,5357.20
296,3294.81
297,4612.58
299,1220.89
300,7265.80
301,3903.10
302,3459.15
303,3678.71
304,3701.64
305,4078.75
306,3564.23
307,3859.37
308,3057.96
309,3360.98
310,2871.48
311,3155.81
312,2645.80
313,3302.64
314,3727.70
315,3903.10
316,3625.78
318,4093.14
319,4046.89
320,2922.80
321,3378.32
322,2742.30
323,3236.19
324,1975.71
325,2405.27
326,2147.58
327,1530.88
328,2842.60
329,2164.99
330,1416.81
331,1257.30
333,673.36
334,974.75
335,1126.11
336,1355.80
337,1077.45
338,1289.44
339,1443.16
340,1255.67
341,1647.02
342,1301.03
343,1658.20
344,1809.42
345,2622.23
346,2021.12
347,2232.14
348,1643.82
349,1758.86
350,1386.86
351,1358.98
352,1845.71
353,1714.10
354,1777.18
355,1848.86
356,1934.37
357,2547.40
358,2027.59
359,1720.78
360,1875.36
361,1556.12
362,2071.65
364,2170.80
365,2634.87
366,1876.30
367,1672.76
368,1223.13
369,1332.13
370,1996.79
371,1593.29
372,2245.20
373,913.35
374,1073.35
375,856.02
376,884.32
377,606.80
378,650.14
379,281.73
380,415.80
381,567.31
382,743.45
383,618.10
384,877.69
385,996.88
386,923.91
387,590.39
388,751.80
389,632.82
390,728.30
391,980.06
392,845.04
393,994.42
394,1224.50
395,1088.18
396,861.77
397,955.97
398,1202.76
399,1040.41
400,1098.64
401,949.19
402,1180.23
403,1039.43
404,944.64
405,1021.44
406,739.52
407,439.48
408,379.20
410,96.16
412,35.88
436,0.00
1112,1750.51
1113,1838.00
1115,439.62
1116,500.34
1117,1097.53
1118,913.45
1119,1217.03
1120,846.29
1121,1222.76
1122,1010.96
1123,1748.83
1124,1308.24
1125,1902.09
1126,1825.39
1127,1461.89
1128,1800.37
1129,1944.13
1130,1891.08
1131,1912.07
1132,1611.30
1133,1390.46
1134,1621.64
1135,1708.84
1136,1667.50
1137,1094.40
1138,883.20
1140,1540.66
1141,1221.00
1142,1361.87
1143,1710.34
1144,1433.66
1145,1551.38
1146,1728.58
1147,1863.90
1148,1987.06
1149,1876.92
1150,1942.32
1151,1873.96
1152,1828.87
1153,1998.21
1154,1905.49
1155,1673.33
1156,1975.10
1157,1769.83
1159,1941.50
1160,1648.98
1161,2285.01
1162,1111.71
1163,194.60
1164,1924.08
1165,1071.44
1166,2178.72
1167,2418.83
1168,2824.11
1169,3039.83
1170,2998.04
1171,2222.22
1172,2831.79
1173,2778.92
1174,3095.48
1175,3597.08
1176,3193.80
1177,4267.00
1179,3609.67
1180,3859.92
1181,3252.64
1182,3374.00
1183,3127.55
1184,2594.21
1185,2432.00
1186,2201.31
1187,1905.82
1188,1883.82
1189,2405.27
1190,1579.82
1191,1831.22
1192,1289.44
1193,873.49
1194,1459.20
1195,237.57
1196,1453.37
1197,2175.68
1198,1790.75
1199,1550.02
1200,2350.61
1201,1495.84
1202,1465.03
1203,1294.97
1204,1508.20
1205,1872.71
1206,1545.99
1207,1704.57
1208,1917.91
1209,1195.46
1210,1181.31
1211,1441.14
1212,996.12
1213,1670.34
1214,1808.55
1215,1873.58
1217,1524.67
1218,1439.72
1219,1333.23
1220,856.86
1221,747.66
1222,725.99
1223,533.28
1224,728.89
1225,748.40
1226,586.31
1227,911.11
1228,867.71
1229,841.78
1230,1594.42
1231,1308.08
1232,1507.75
1233,1606.86
1234,1270.60
1235,952.56
1236,1661.83
1237,911.89
1238,921.94
1239,962.11
1240,233.98
1241,1150.69
1243,1525.75
1244,1421.67
1245,1426.50
1246,615.64
1247,1694.63
1248,2081.68
1249,575.42
1250,780.17
1251,578.87
1252,999.80
1253,1133.75
1254,1767.96
1255,1160.03
1256,1269.03
1257,902.08
1258,1160.45
1259,1537.94
1260,1941.30
1261,2152.59
1263,1418.94
1264,1355.70
1265,1492.78
1266,1886.41
1267,1488.82
1268,633.04
1269,758.50
1270,568.66
1271,1036.36
1272,1585.29
1273,1563.43
1274,1252.67
1275,1411.09
1276,1297.15
1277,580.44
1278,856.02
1279,1101.12
1280,1324.02
1281,1281.78
1282,1377.57
1283,2437.93
1284,1912.33
1285,2173.41
1286,2050.94
1287,2287.23
1288,2464.57
1289,1594.22
1290,1563.13
1291,1935.15
1292,1990.11
1293,2128.00
1294,1891.94
1295,2578.88
1296,2068.08
1297,1486.90
1298,1684.40
1299,1874.47
1300,1993.76
1301,1578.06
